Epoch 0120 | Time 0.244 (0.193) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0121 | Time 0.247 (0.213) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
Epoch 0122 | Time 1.698 (1.420) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9958
Epoch 0123 | Time 0.285 (0.489) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0124 | Time 0.232 (0.188) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0125 | Time 0.230 (0.200) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0126 | Time 0.275 (0.200) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0127 | Time 1.931 (1.486) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0128 | Time 0.235 (0.235) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9955
Epoch 0129 | Time 1.581 (1.148) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0130 | Time 0.426 (0.437) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9954
Epoch 0131 | Time 0.527 (0.200) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9955
Epoch 0132 | Time 0.256 (0.181) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0133 | Time 1.666 (1.426) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9955
Epoch 0134 | Time 1.837 (1.511) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0135 | Time 0.267 (0.210) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0136 | Time 0.222 (0.223) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0137 | Time 0.268 (0.196) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0138 | Time 0.566 (0.190) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9956
Epoch 0139 | Time 0.325 (0.208) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0140 | Time 0.219 (0.193) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0141 | Time 0.783 (0.185) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0142 | Time 0.494 (0.207) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0143 | Time 0.242 (0.196) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0144 | Time 0.236 (0.211) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0145 | Time 0.738 (0.202) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0146 | Time 0.270 (0.177) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0147 | Time 1.459 (0.641) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0148 | Time 1.671 (1.492) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0149 | Time 0.271 (1.263) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0150 | Time 0.232 (0.205) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0151 | Time 1.502 (1.471) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0152 | Time 0.384 (0.239) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0153 | Time 0.216 (0.176) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0154 | Time 0.237 (0.221) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0155 | Time 1.683 (1.415) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0156 | Time 1.741 (1.525) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0157 | Time 1.414 (1.505) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0158 | Time 1.378 (1.537) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
Epoch 0159 | Time 1.711 (1.508) | NFE-F 26.2 | NFE-B 20.0 | Train Acc 0.9999 | Test Acc 0.9957
